image_id,uuid_prefix,original_filename,f4dficimg_path,xlsx_image_path
5369,9404a7017326433cbafbf98a6d0c8e83,gl-0010.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0010.jpg,static/img/9404a7017326433cbafbf98a6d0c8e83_gl-0010.jpg
5370,157ebdfb8b2049d48b69ede4eb529c42,gl-0014.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0014.jpg,static/img/157ebdfb8b2049d48b69ede4eb529c42_gl-0014.jpg
5371,da86c3953b8143e0a5f6be67db398c65,gl-0016.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0016.jpg,static/img/da86c3953b8143e0a5f6be67db398c65_gl-0016.jpg
5372,1dbce150689b4651b61d78001797a5e7,gl-0020.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0020.jpg,static/img/1dbce150689b4651b61d78001797a5e7_gl-0020.jpg
5373,52b5944ae40544e89b26e670de6cc07a,gl-0021.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0021.jpg,static/img/52b5944ae40544e89b26e670de6cc07a_gl-0021.jpg
5374,78e2f2d33ab14521a269f3ffceac9fc2,gl-0022.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0022.jpg,static/img/78e2f2d33ab14521a269f3ffceac9fc2_gl-0022.jpg
5375,35cb3dfa873848f9b1faa5e1af55b2e7,gl-0030.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0030.jpg,static/img/35cb3dfa873848f9b1faa5e1af55b2e7_gl-0030.jpg
5376,8e8f3e19e68e4e98b233084d6624fb1f,gl-0035.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0035.jpg,static/img/8e8f3e19e68e4e98b233084d6624fb1f_gl-0035.jpg
5377,e47451d88e13455dbc7d2704a1f69c2a,gl-0036.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0036.jpg,static/img/e47451d88e13455dbc7d2704a1f69c2a_gl-0036.jpg
5378,59df1807a7d14ddcb4ec32d813e91888,gl-0045.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0045.jpg,static/img/59df1807a7d14ddcb4ec32d813e91888_gl-0045.jpg
5379,9ec4745fbb8a45d2ac12cab01736448e,gl-0049.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0049.jpg,static/img/9ec4745fbb8a45d2ac12cab01736448e_gl-0049.jpg
5380,d524ee40d3864572b719862805d23fdc,gl-0056.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0056.jpg,static/img/d524ee40d3864572b719862805d23fdc_gl-0056.jpg
5381,8a6fe40a7e9d42e0afd33e3e901993c6,gl-0057.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0057.jpg,static/img/8a6fe40a7e9d42e0afd33e3e901993c6_gl-0057.jpg
5382,395c44120ce0482ab6e48481710ec1fc,gl-0060.jpg,~/ml4img/f4dficimg/dif_MRItumor/gl-0060.jpg,static/img/395c44120ce0482ab6e48481710ec1fc_gl-0060.jpg
