dataset_id,image_id,image_path,partial_target,target,xlsx_image_path,uuid_prefix,f4dficimg_path,record_count,expert_ids_json
16,5369,gl-0010.jpg,"[102, 103]",103,static/img/9404a7017326433cbafbf98a6d0c8e83_gl-0010.jpg,9404a7017326433cbafbf98a6d0c8e83,~/ml4img/f4dficimg/dif_MRItumor/gl-0010.jpg,2,"[""dtr005"", ""dtr006""]"
16,5370,gl-0014.jpg,"[103, 105]",105,static/img/157ebdfb8b2049d48b69ede4eb529c42_gl-0014.jpg,157ebdfb8b2049d48b69ede4eb529c42,~/ml4img/f4dficimg/dif_MRItumor/gl-0014.jpg,2,"[""dtr005"", ""dtr006""]"
16,5371,gl-0016.jpg,[102],102,static/img/da86c3953b8143e0a5f6be67db398c65_gl-0016.jpg,da86c3953b8143e0a5f6be67db398c65,~/ml4img/f4dficimg/dif_MRItumor/gl-0016.jpg,2,"[""dtr005"", ""dtr006""]"
16,5372,gl-0020.jpg,[102],102,static/img/1dbce150689b4651b61d78001797a5e7_gl-0020.jpg,1dbce150689b4651b61d78001797a5e7,~/ml4img/f4dficimg/dif_MRItumor/gl-0020.jpg,2,"[""dtr005"", ""dtr006""]"
16,5373,gl-0021.jpg,"[102, 103]",103,static/img/52b5944ae40544e89b26e670de6cc07a_gl-0021.jpg,52b5944ae40544e89b26e670de6cc07a,~/ml4img/f4dficimg/dif_MRItumor/gl-0021.jpg,2,"[""dtr005"", ""dtr006""]"
16,5374,gl-0022.jpg,[102],102,static/img/78e2f2d33ab14521a269f3ffceac9fc2_gl-0022.jpg,78e2f2d33ab14521a269f3ffceac9fc2,~/ml4img/f4dficimg/dif_MRItumor/gl-0022.jpg,2,"[""dtr005"", ""dtr006""]"
16,5375,gl-0030.jpg,"[102, 105]",105,static/img/35cb3dfa873848f9b1faa5e1af55b2e7_gl-0030.jpg,35cb3dfa873848f9b1faa5e1af55b2e7,~/ml4img/f4dficimg/dif_MRItumor/gl-0030.jpg,2,"[""dtr005"", ""dtr006""]"
16,5376,gl-0035.jpg,[102],102,static/img/8e8f3e19e68e4e98b233084d6624fb1f_gl-0035.jpg,8e8f3e19e68e4e98b233084d6624fb1f,~/ml4img/f4dficimg/dif_MRItumor/gl-0035.jpg,2,"[""dtr005"", ""dtr006""]"
16,5377,gl-0036.jpg,"[102, 105]",102,static/img/e47451d88e13455dbc7d2704a1f69c2a_gl-0036.jpg,e47451d88e13455dbc7d2704a1f69c2a,~/ml4img/f4dficimg/dif_MRItumor/gl-0036.jpg,2,"[""dtr005"", ""dtr006""]"
16,5378,gl-0045.jpg,"[102, 104, 105]",105,static/img/59df1807a7d14ddcb4ec32d813e91888_gl-0045.jpg,59df1807a7d14ddcb4ec32d813e91888,~/ml4img/f4dficimg/dif_MRItumor/gl-0045.jpg,3,"[""dtr004"", ""dtr005"", ""dtr006""]"
